ghn_ward_id,ma_xa,ten_xa,ghn_district_id,ten_huyen,ghn_province_id,ten_tinh,region,buu_cuc_ma,buu_cuc_ten,am_name,am_phone,nhan_vien,sl_lay,sl_giao
250913,13945,Xã Nghĩa Lâm,3243,Huyện Nghĩa Hưng,231,Nam Định,TNT,21461000,Bưu Cục QL37B-Thị trấn Liễu Đề-Nghĩa Hưng-Nam Định,,,,,
250907,13912,Xã Nghĩa Châu,3243,Huyện Nghĩa Hưng,231,Nam Định,TNT,21461000,Bưu Cục QL37B-Thị trấn Liễu Đề-Nghĩa Hưng-Nam Định,,,,,
230712,,Xã Long Sơn,1968,Huyện Lương Sơn,267,Hòa Bình,TNT,22721000,Bưu Cục 362 Quốc Lộ 6-Xã Lương Sơn-Hòa Bình,,,,,
171305,,Xã Đoàn Kết,1920,Huyện đảo Vân Đồn,230,Quảng Ninh,XBG,1892,Bưu Cục Đảo Vân Đồn-Quảng Ninh,,,,,
120914,05881,Xã Thành Công,1990,Thị xã Phổ Yên,244,Thái Nguyên,DBB,21697000,Bưu Cục Đường 261-Bắc Sơn-Phổ Yên-Thái Nguyên,,,,,
410702,22732,Xã Ba Cụm Bắc,3212,Huyện Khánh Sơn,208,Khánh Hòa,NTB,20784000,Bưu Cục 111 Lê Duẫn-Khánh Sơn-Khánh Hoà,,,,,
270709,14629,Xã Hồi Ninh,3205,Huyện Kim Sơn,233,Ninh Bình,TNT,20677000,Bưu Cục Lạc Thiện-Quang Sơn-Ninh Bình,,,,,
250904,13909,Xã Hoàng Nam,3243,Huyện Nghĩa Hưng,231,Nam Định,TNT,21461000,Bưu Cục QL37B-Thị trấn Liễu Đề-Nghĩa Hưng-Nam Định,,,,,
10603,,,,,,,XBG,1342,Bưu Cục Chí Linh-Hải Dương,,,,,
XãĐiềnHải,,,,,,,TNB,20780000,Bưu Cục Quốc Lộ 1A-Khóm 5-Giá Rai-Bạc Liêu,,,,,
800303,25729,Xã Phước Bình,2035,Thị xã Trảng Bàng,240,Tây Ninh,DNB,22737000,Bưu Cục An Lợi-Trảng Bàng-Tây Ninh,,,,,
30301,11353,Phường Cầu Đất,1587,Quận Ngô Quyền,224,Hải Phòng,XBG,20061000,Bưu cục Tổ 12-Kênh Dương-Lê Chân-Hải Phòng,,,,,
30303,11359,Phường Đằng Giang,1587,Quận Ngô Quyền,224,Hải Phòng,XBG,20061000,Bưu cục Tổ 12-Kênh Dương-Lê Chân-Hải Phòng,,,,,
10573,,,,,,,XBG,1342,Bưu Cục Chí Linh-Hải Dương,,,,,
