warehouse_id,warehouse_name,warehouse_address,warehouse_category,latitude,longitude,area_manager_name,ward_name,district_name,province_name,region,area
21622000,Bưu Cục Lõng Khu-Sơn Nam-Sơn Dương-Tuyên Quang,"Thôn Lõng Khu, xã Sơn Nam, huyện Yên Sơn, tỉnh Tuyên Quang",buu_cuc,21.552025,105.468158,Nguyễn Văn Phòng,Xã Sơn Nam,Huyện Sơn Dương,Tuyên Quang,DBB,Bắc
21160000,Kho Giao Hàng Nặng - Việt Trì - Phú Thọ,"Phố Việt Hưng, phường Bến Gót, thành phố Việt Trì, tỉnh Phú Thọ",giao_hang_nang,21.32625,105.3248889,Nguyễn Thị Huệ,Phường Bến Gót,Thành phố Việt Trì,Phú Thọ,TNT,Bắc
21652000,Kho Chuyển Tiếp Phú Thọ 01,"Khu 11 Xã Thanh Đình Tôn Đức Thắng, Xã Thanh Đình, TP. Việt Trì, Tỉnh Phú Thọ.",kho_chuyen_tiep,21.32625,105.3248889,,Xã Thanh Đình,Thành phố Việt Trì,Phú Thọ,TNT,Bắc
22765000,Bưu Cục Đường Lạc Long Quân-Xã Hạ Hòa-Phú Thọ,"Đường Lạc Long Quân, Thị Trấn Hạ Hòa, Huyện Hạ Hòa, Tỉnh Phú Thọ, TNT",buu_cuc,21.551306,105.011167,Phạm Hoài Linh,Thị trấn Hạ Hoà,Huyện Hạ Hòa,Phú Thọ,TNT,Bắc
22118000,Bưu Cục Đồng Xuân-Thanh-Ba Phú Thọ,"Số 45, Khu 3, Xã Đồng Xuân, Huyện Thanh Ba, Tỉnh Phú Thọ",buu_cuc,21.497321,105.123702,Phạm Hoài Linh,Xã Đồng Xuân,Huyện Thanh Ba,Phú Thọ,TNT,Bắc
22875000,Bưu Cục 1165 Đại Lộ Hùng Vương-Thanh Miếu-Phú Thọ,"1165 Đại lộ Hùng Vương, Tiên Cát, Tp. Việt Trì, Phú Thọ",buu_cuc,21.306131,105.407108,Phùng Văn Đồng,Phường Tiên Cát,Thành phố Việt Trì,Phú Thọ,TNT,Bắc
21057000,Bưu Cục Khu 10 Tân Phú-Tân Sơn-Phú Thọ,"Khu 10A, Xã Tân Phú, Huyện Tân Sơn - Phú Thọ",buu_cuc,21.21393,105.023784,Phùng Văn Đồng,Xã Tân Phú,Huyện Tân Sơn,Phú Thọ,TNT,Bắc
22851000,Bưu Cục Khu Đoàn Kết Đường 19/5-Xã Đoan Hùng-Phú Thọ,"Khu Đoàn Kết Đường 19/5, Thị Trấn Đoan Hùng, Huyện Đoan Hùng, Tỉnh Phú Thọ, TNT",buu_cuc,21.625015,105.180256,Phạm Hoài Linh,Thị trấn Đoan Hùng,Huyện Đoan Hùng,Phú Thọ,TNT,Bắc
20639000,Bưu Cục 41 đường 19/5-Đoan Hùng-Phú Thọ,"Số nhà 41 Đường 19 Tháng 5, TT Đoan Hùng, huyện Đoan Hùng, tỉnh Phú Thọ",buu_cuc,21.625213,105.182544,Phạm Hoài Linh,Thị trấn Đoan Hùng,Huyện Đoan Hùng,Phú Thọ,TNT,Bắc
22034000,Bưu Cục Khu 1-Thanh Minh-Phú Thọ,"Khu 1, xã Thanh Minh, Thị xã Phú Thọ, tỉnh Phú Thọ",buu_cuc,21.4015768,105.1998723,Phạm Hoài Linh,Xã Thanh Minh,Thị xã Phú Thọ,Phú Thọ,TNT,Bắc
